# [Name]                 [Latitude]             [Longitude]            [Power]
#Power is thermal power in GW
#This file is prepared by Linyan Wan 
GOESGEN				47.366111					7.966667					 3.002
LEIBSTADT			47.603056					8.184722					 3.600
MUEHLEBERG			46.96889						4.268056				 1.097
ROVNO-1					51.327778					25.891667				 1.375
ROVNO-2					51.327778					25.891667				 1.375
ROVNO-3					51.327778					25.891667				 3.000
ROVNO-4					51.327778					25.891667				 3.000
SOUTHUKRAINE-1				47.816667					31.216667				 3.000
SOUTHUKRAINE-2				47.816667					31.216667				 3.000
SOUTHUKRAINE-3				47.816667					31.216667				 3.000
ZAPOROZHYE-1				47.512222					34.585833				 3.000
ZAPOROZHYE-2				47.512222					34.585833				 3.000
ZAPOROZHYE-3				47.512222					34.585833				 3.000
ZAPOROZHYE-4				47.512222					34.585833				 3.000
ZAPOROZHYE-5				47.512222					34.585833				 3.000
ZAPOROZHYE-6				47.512222					34.585833				 3.000
